epsilon,seed,uk_gini,uk_revenue,uk_welfare,opt_gini,opt_revenue,opt_welfare,gini_change_pct,revenue_change_pct,welfare_change_pct,allowance,basic_threshold,higher_threshold,basic_rate,higher_rate,additional_rate
1.5,42,0.35320523879675925,12242644.549889248,18196.777739650883,0.35094937045433916,11632974.344212715,18505.728944686118,-0.6386848479668656,-4.97988978763619,1.6978346906003507,16552.893362395705,38615.93278158165,130000.0,0.2074927461305272,0.3611390849078132,0.41191191839798197
1.5,101,0.35621139479381125,12217766.596172212,17961.299359458793,0.354296986969751,11607927.071484793,18270.133020491634,-0.5374358743263683,-4.991415737786966,1.719439417227921,16519.694836121296,37952.62613106506,86400.15794590197,0.20941867749112028,0.3482395444315326,0.4
1.5,202,0.3548518602690405,12306519.828318583,18095.997804520037,0.35567776992475153,11691263.056181062,18408.652337886997,0.23274773171116223,-4.999437539780751,1.7277551464383187,14368.562555401862,32762.159898850237,130000.0,0.15630518382981096,0.34601855232762013,0.4
1.5,303,0.3519842209159014,12203017.626898436,18180.89195960199,0.3504237260974501,11594937.652739706,18510.635594181447,-0.44334226528415166,-4.983029548514077,1.8136823831974107,16482.140457555237,52021.52417192068,130000.0,0.2268290431682488,0.39758722605796587,0.44758722605796586
1.5,404,0.3522826135672623,12044012.7474435,17975.17532933042,0.3471290437393644,11442151.967900624,18263.58819321232,-1.462907798858474,-4.997178201016346,1.6045065408140409,16276.673138483693,33640.55082195342,130000.0,0.18346560536626283,0.36147905916034156,0.41147905916034155
1.5,505,0.3567085775097649,12758405.105417853,18409.812714711497,0.35029383061828123,12121087.304902833,18722.238076587113,-1.7983158510697959,-4.995277977530149,1.6970588822229182,16998.737478678657,45732.14557382807,130000.0,0.22572475386794624,0.39644012272956264,0.4464401227295626
1.5,606,0.35208964211592453,12356919.566193018,18303.731263511352,0.3592255779589546,11739654.444168413,18619.215144885125,2.0267383613291825,-4.995299343967286,1.7236042030549978,15700.494690884592,58797.32951576196,130000.0,0.22637149966601053,0.38237444677306476,0.44636784114202827
1.5,707,0.3594217831106905,12796491.946099777,18244.095245769546,0.3592111379323044,12157587.346244024,18568.294693208503,-0.058606681142979296,-4.992810549538801,1.7770102768682552,15311.88513970703,33592.04431134165,87158.76908139816,0.17748654016962778,0.3345710061724576,0.4
1.5,808,0.35576411864099344,12406763.391338915,18150.39492917928,0.35118029968876274,11787170.918240372,18475.089660008023,-1.2884433005050453,-4.993989597086024,1.7889127597259598,16369.227265365362,38308.21398168035,123608.06623059142,0.1996663627327054,0.3732467907166181,0.4232467907166181
1.5,909,0.35189945552030544,12114679.400594339,18120.280418891278,0.35160586557038753,11509164.302920412,18437.601066172563,-0.08343006654665433,-4.99819332936058,1.7511905994040968,15567.196769064145,37014.89598209745,130000.0,0.19030191063414095,0.3538419540012983,0.4088716474498508
